team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,title_odds,top_4_odds,relegation_odds
Liverpool,0.827,0.162,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827,1.0,0.0
Arsenal,0.169,0.723,0.08,0.022,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.994,0.0
Nott'ham Forest,0.003,0.043,0.254,0.198,0.176,0.13,0.091,0.057,0.027,0.013,0.004,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.498,0.0
Chelsea,0.001,0.023,0.179,0.192,0.175,0.171,0.105,0.081,0.042,0.016,0.009,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.395,0.0
West Ham,0.0,0.0,0.0,0.0,0.001,0.001,0.007,0.019,0.034,0.073,0.09,0.116,0.149,0.183,0.21,0.098,0.017,0.001,0.001,0.0,0.0,0.0,0.002
Tottenham,0.0,0.0,0.001,0.001,0.006,0.007,0.013,0.036,0.066,0.082,0.143,0.134,0.164,0.151,0.116,0.07,0.01,0.0,0.0,0.0,0.0,0.002,0.0
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.06,0.927,0.0,0.0,0.997
Newcastle Utd,0.0,0.018,0.167,0.193,0.194,0.156,0.127,0.066,0.049,0.011,0.009,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.0
Manchester Utd,0.0,0.0,0.0,0.0,0.009,0.008,0.02,0.053,0.082,0.11,0.125,0.15,0.143,0.136,0.126,0.031,0.007,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,0.0,0.025,0.222,0.243,0.173,0.145,0.088,0.053,0.03,0.015,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.104,0.32,0.506,0.049,0.0,0.0,0.8750000000000001
Aston Villa,0.0,0.005,0.046,0.069,0.109,0.148,0.17,0.167,0.104,0.071,0.048,0.034,0.017,0.007,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.035,0.158,0.42,0.361,0.019,0.0,0.0,0.7999999999999999
Fulham,0.0,0.0,0.001,0.008,0.021,0.033,0.05,0.078,0.132,0.152,0.149,0.122,0.112,0.091,0.039,0.01,0.002,0.0,0.0,0.0,0.0,0.009000000000000001,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.009,0.013,0.036,0.058,0.152,0.401,0.248,0.063,0.014,0.0,0.0,0.0,0.077
Crystal Palace,0.0,0.0,0.0,0.002,0.0,0.01,0.015,0.026,0.052,0.077,0.108,0.143,0.143,0.185,0.155,0.068,0.014,0.002,0.0,0.0,0.0,0.002,0.002
Brighton,0.0,0.001,0.01,0.023,0.038,0.067,0.101,0.142,0.174,0.145,0.107,0.083,0.056,0.029,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.034,0.0
Brentford,0.0,0.0,0.001,0.001,0.006,0.01,0.039,0.059,0.077,0.131,0.131,0.143,0.14,0.123,0.11,0.027,0.002,0.0,0.0,0.0,0.0,0.002,0.0
Bournemouth,0.0,0.0,0.028,0.048,0.086,0.114,0.174,0.162,0.13,0.1,0.063,0.047,0.024,0.017,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0
Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.015,0.055,0.236,0.435,0.184,0.058,0.005,0.0,0.0,0.247
